job_id,title
4639576,Кур'єр (Дніпровський р-н)
3964457,Персональний водій керівника (банк)
4639566,Бухгалтер-касир
4639560,Оператор call-центра (soft-collection)
4367871,Продавец в супермаркет
4352638,Грузчик в супермаркет
4639525,Менеджер з продажу
4625458,Водитель такси на авто компании (Uber Comfort)
2663847,Помічних бухгалтера
4639500,Кур'єр (Дарницький р-н)
4639498,Кур'єр (Печерський р-н)
4639497,Кур'єр (Шевченківський р-н)
4561531,"Торговый представитель, менеджер по продажам (со своим авто)"
4637454,Головний бухгалтер у Святопетрівське
4411652,"Бухгалтер (ЗП, первичка)"
3336148,"Менеджер по транспорту, специалист по международным перевозкам"
4159925,Бухгалтер
4639486,Менеджер по продажам
4500613,Recruiter
4358800,"Аккаунт-менеджер, Digital Project Manager"
4561715,Велокур'єр на транспорт компанії
4044007,"Водитель-экспедитор кат. В, С на авто компании"
4605919,Менеджер із закупівель
4628101,Менеджер по работе с клиентами
4484561,Менеджер з продажу
4450841,Швея
4617282,Finance Analyst
4639477,"Менеджер по продажам (ТЦ ""Олимпийский"")"
3741796,Фахівець з реєстрації лікарських засобів в країнах СНД у Вишневе
3508134,Customer Support Agent
4567656,Персональный менеджер по обслуживанию премиум-клиентов
4551028,Головний бухгалтер (складська і траспортна логістика)
3479966,"Товаровед, кладовщик (Отрадный)"
4617163,Менеджер по роботі з клієнтами
4606376,Менеджер по продажам грузовых шин и дисков
4490959,"Продавець-сомелье м'ясний (ЖК ""Караваєві дачі"")"
4629765,Бухгалтер із заробітної плати
4319607,Customer Support Agent
3666544,Customer Support Agent
2884689,Продавець-консультант техніки Apple
4488579,Менеджер на входящую линию
4549959,"Касир (центр, Шулявка, Теремки)"
3975158,Office Coordinator
3686244,"Касир в супермаркет ""Велика кишеня"" (ст. м. Печерська)"
4617892,Продавець-консультант спортивного магазину (ТРЦ Respublika Park)
4439064,"Специалист по взысканию проблемной задолженности, коллектор"
4639423,Водій на машину автопарку (новий автомобіль)
4390716,Менеджер отдела продаж
4554287,Financial Fraud Investigator (расследование финансового мошенничества)
771567,Продавец-консультант в розничный магазин спортивного питания
4639364,"Customer Service Representative (Russian, English)"
4639363,"Customer Service Representative (Russian, English)"
4423238,Руководитель сервисного центра СТО
4447670,Експерт з пропозицій з роумінгу та міжнародних дзвінків
